area_nm,visit_dt,visitor_sum,tourist_type
충북,2022-09-17,1803689,내국인
충북,2022-11-08,541,외국인
충북,2022-12-11,564,외국인
충북,2023-01-08,1421378,내국인
충북,2023-02-09,468,외국인
충북,2023-03-17,1680943,내국인
충북,2023-03-07,565,외국인
충북,2023-03-27,1636261,내국인
충북,2023-04-04,1456599,내국인
충북,2020-09-05,356,외국인
충북,2021-01-09,1085918,내국인
충북,2021-02-04,174,외국인
충북,2021-02-16,1195694,내국인
충북,2021-05-13,1411776,내국인
충북,2021-06-17,254,외국인
충북,2021-08-29,1452835,내국인
충북,2021-11-18,1956,외국인
충북,2022-02-15,329,외국인
충북,2022-02-25,1335432,내국인
충북,2022-03-04,352,외국인
충북,2022-03-11,1480455,내국인
충북,2022-04-17,383,외국인
충북,2022-06-20,1066,외국인
충북,2022-07-07,1500286,내국인
충북,2022-09-18,511,외국인
충북,2020-08-15,230,외국인
충북,2020-12-07,1179864,내국인
충북,2021-01-05,1086383,내국인
충북,2021-06-13,183,외국인
충북,2021-06-16,223,외국인
광주,2023-03-18,147,외국인
광주,2023-03-20,134,외국인
광주,2022-08-29,156,외국인
광주,2022-09-29,151,외국인
광주,2022-12-12,141,외국인
광주,2023-01-21,105,외국인
광주,2023-03-27,1444997,내국인
광주,2022-08-08,101,외국인
광주,2022-10-03,142,외국인
광주,2023-01-24,97,외국인
광주,2023-03-20,1430122,내국인
광주,2021-07-11,1266153,내국인
광주,2021-11-07,1364741,내국인
광주,2021-12-03,1314214,내국인
광주,2021-12-14,396,외국인
광주,2022-01-13,1229924,내국인
광주,2022-04-27,303,외국인
광주,2022-05-03,290,외국인
광주,2022-06-26,489,외국인
광주,2022-11-12,1492698,내국인
광주,2022-12-23,1133281,내국인
광주,2022-11-09,148,외국인
광주,2023-01-28,104,외국인
광주,2023-02-14,85,외국인
광주,2022-09-07,1463358,내국인
광주,2022-09-23,152,외국인
광주,2022-11-21,118,외국인
광주,2022-12-30,1476887,내국인
광주,2023-01-26,118,외국인
광주,2023-02-17,88,외국인
대구,2020-05-14,1979619,내국인
대구,2020-06-28,2071518,내국인
대구,2020-08-22,373,외국인
대구,2020-10-31,2442540,내국인
대구,2020-11-02,2027363,내국인
대구,2021-01-11,157,외국인
대구,2021-04-07,1988353,내국인
대구,2021-04-25,193,외국인
대구,2021-05-10,2028226,내국인
대구,2021-06-21,2168426,내국인
대구,2021-08-08,1850864,내국인
대구,2021-09-10,2261521,내국인
대구,2021-09-19,2367714,내국인
대구,2021-10-01,291,외국인
대구,2021-10-27,2206314,내국인
대구,2021-12-12,2092999,내국인
대구,2022-02-23,300,외국인
대구,2022-03-14,2102517,내국인
대구,2022-04-30,568,외국인
대구,2022-05-23,2099091,내국인
대구,2022-08-29,2224631,내국인
대구,2022-09-29,2417640,내국인
대구,2022-11-23,321,외국인
대구,2022-11-27,2302547,내국인
대구,2022-12-12,2151169,내국인
대구,2022-12-22,375,외국인
대구,2023-04-16,875,외국인
대구,2023-04-22,925,외국인
대구,2021-04-11,2100125,내국인
대구,2022-03-12,2269667,내국인
대구,2022-08-25,261,외국인
대구,2022-11-22,2266693,내국인
대구,2022-12-13,2191430,내국인
대구,2022-12-15,2226339,내국인
대구,2022-12-16,266,외국인
대구,2022-12-29,482,외국인
대구,2023-01-03,2116317,내국인
대구,2023-03-11,2645461,내국인
대구,2023-04-03,2173678,내국인
대구,2023-04-13,2252170,내국인
대구,2022-10-14,377,외국인
대구,2023-03-27,397,외국인
대구,2023-04-04,2027,외국인
대구,2023-04-07,2352533,내국인
대구,2023-04-11,2193391,내국인
대구,2023-04-21,930,외국인
대구,2021-02-22,272,외국인
대구,2021-04-12,252,외국인
대구,2021-04-13,262,외국인
대구,2021-05-03,2063014,내국인
대구,2021-05-05,2178001,내국인
대구,2022-03-28,2223361,내국인
대구,2022-06-06,747,외국인
대구,2022-08-03,926,외국인
대구,2022-08-09,251,외국인
대구,2022-09-26,2356456,내국인
대구,2022-10-12,2279685,내국인
대구,2020-08-15,388,외국인
대구,2021-01-05,1748909,내국인
대구,2021-01-11,1788016,내국인
대구,2021-03-09,2100868,내국인
대구,2021-03-15,2137630,내국인
대구,2021-06-14,203,외국인
대구,2021-08-04,2006593,내국인
대구,2021-11-08,2027890,내국인
대구,2022-07-02,825,외국인
대구,2022-08-19,246,외국인
대구,2022-11-23,2321585,내국인
대구,2022-12-22,2253443,내국인
대구,2023-01-09,2164537,내국인
대구,2023-01-23,2510647,내국인
대구,2021-11-20,1112,외국인
대구,2021-12-10,2214874,내국인
대구,2021-12-23,2130310,내국인
대구,2022-03-26,292,외국인
대구,2022-04-07,2054841,내국인
대구,2022-05-12,2114365,내국인
대구,2022-08-28,278,외국인
대구,2022-09-13,2338846,내국인
대구,2022-11-17,358,외국인
대구,2022-12-04,2235422,내국인
대구,2023-01-23,408,외국인
대구,2023-02-25,305,외국인
대구,2023-03-07,2300924,내국인
대구,2022-09-07,312,외국인
대구,2022-10-01,2586765,내국인
대구,2022-11-07,2246693,내국인
대구,2023-03-04,2527889,내국인
대구,2023-04-27,2307531,내국인
대구,2022-11-19,2618489,내국인
대구,2022-12-01,319,외국인
대구,2023-02-03,2335097,내국인
대구,2023-04-11,1246,외국인
대구,2023-02-28,2487255,내국인
대구,2023-04-20,936,외국인
대구,2022-05-05,2309992,내국인
대구,2022-08-30,318,외국인
대구,2022-11-12,2578059,내국인
대구,2023-02-08,299,외국인
대구,2023-03-02,470,외국인
대구,2023-03-14,2350710,내국인
대구,2023-04-06,2205003,내국인
대구,2023-04-08,2559478,내국인
대구,2022-02-04,2062225,내국인
대구,2022-05-21,969,외국인
대구,2022-07-10,861,외국인
대구,2022-10-29,279,외국인
대구,2023-02-25,2604356,내국인
대구,2023-03-04,471,외국인
대구,2020-06-29,2076090,내국인
대구,2020-08-10,1960288,내국인
대구,2020-08-24,414,외국인
대구,2020-09-24,2218746,내국인
대구,2020-09-29,1273,외국인
대구,2021-03-17,2190757,내국인
대구,2021-04-04,1935361,내국인
대구,2021-04-21,2057003,내국인
대구,2021-05-01,2259334,내국인
대구,2021-06-07,165,외국인
대구,2021-06-10,2097554,내국인
대구,2021-11-03,2472,외국인
대구,2021-11-27,446,외국인
대구,2021-12-05,317,외국인
대구,2021-12-11,323,외국인
대구,2022-12-27,2279192,내국인
대구,2023-01-08,2173329,내국인
대구,2023-02-19,2335142,내국인
대구,2023-02-28,327,외국인
대구,2020-10-24,264,외국인
대구,2020-11-07,2391209,내국인
대구,2021-01-29,206,외국인
대구,2021-06-29,288,외국인
대구,2021-08-12,275,외국인
대구,2021-08-22,2030438,내국인
대구,2021-12-20,2071049,내국인
대구,2022-02-21,2051511,내국인
대구,2022-06-08,769,외국인
대구,2022-06-27,874,외국인
대구,2022-07-12,836,외국인
대구,2022-07-30,2610736,내국인
대구,2022-08-18,2189644,내국인
대구,2022-10-28,362,외국인
대구,2023-03-23,2340787,내국인
대구,2020-10-07,2050548,내국인
대구,2020-11-16,2093050,내국인
대구,2021-03-16,221,외국인
대구,2021-04-06,1966419,내국인
대구,2021-04-23,2148144,내국인
대구,2021-06-28,286,외국인
대구,2022-04-12,2107992,내국인
대구,2022-06-13,2062402,내국인
대구,2022-11-06,287,외국인
대구,2022-12-14,329,외국인
대구,2023-02-02,2213348,내국인
대구,2023-03-09,345,외국인
대구,2021-09-25,280,외국인
대구,2021-10-20,2174377,내국인
대구,2021-11-24,605,외국인
대구,2021-12-22,337,외국인
대구,2022-02-02,1932583,내국인
대구,2022-02-25,333,외국인
대구,2022-03-06,1989456,내국인
대구,2022-07-22,2532503,내국인
대구,2022-08-15,239,외국인
대구,2022-12-09,2343090,내국인
대구,2023-02-09,313,외국인
대구,2023-03-17,2483675,내국인
대구,2022-09-13,293,외국인
대구,2022-09-27,289,외국인
대구,2022-10-26,422,외국인
대구,2022-11-09,2297133,내국인
대구,2023-01-28,2409970,내국인
대구,2021-07-05,2056328,내국인
대구,2021-07-10,283,외국인
대구,2021-08-08,270,외국인
대구,2021-09-10,391,외국인
대구,2021-09-19,331,외국인
대구,2021-10-27,484,외국인
대구,2021-12-13,365,외국인
대구,2022-01-23,193,외국인
대구,2022-02-03,2035030,내국인
대구,2022-04-03,268,외국인
대구,2022-05-23,1954,외국인
대구,2023-01-10,2210009,내국인
대구,2023-03-07,340,외국인
대구,2023-03-27,2439383,내국인
대구,2021-08-20,287,외국인
대구,2021-10-09,302,외국인
대구,2021-12-20,359,외국인
대구,2022-01-16,2040917,내국인
대구,2022-01-31,186,외국인
대구,2022-06-19,2136227,내국인
대구,2022-06-22,2164391,내국인
대구,2022-08-18,276,외국인
