시점,발생지역별(1),인구(B) (명),형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범
시점,발생지역별(1),소계,재산범죄,재산범죄,재산범죄,재산범죄,재산범죄,재산범죄,강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),위조범죄
시점,발생지역별(1),소계,절도,장물,사기,횡령,배임,손괴,살인,강도,방화,성폭력,폭행,상해,협박,공갈,약취와 유인,체포와 감금,폭력행위등(손괴강요주거침입등),폭력행위등(단체등의구성 활동),위조범죄
2019,세종,340575,850,3,1359,282,20,221,3,-,2,98,381,158,97,15,1,1,1,1,54
2019,경기,13239666,42015,115,75697,15400,1051,15556,170,187,294,7054,43012,7669,5901,1318,85,369,227,42,3294
2019,강원,1541502,4686,20,8340,1175,144,1837,23,26,42,852,3998,1778,657,175,11,53,45,2,499
2019,충북,1600007,5964,16,9472,1247,152,1917,32,36,55,827,3917,1468,725,179,8,58,12,13,578
2019,충남,2123709,8253,18,12212,1973,249,2537,46,32,76,1053,4684,2102,818,196,9,59,30,4,655
2019,전북,1818917,5839,5,9892,1223,153,1495,43,28,52,940,4912,1532,553,196,5,45,37,44,587
2019,전남,1868745,5740,9,8345,1479,640,2186,28,27,63,881,5240,1957,864,162,11,48,46,-,596
2019,경북,2665836,8857,13,16205,1835,185,2992,39,27,85,1184,6498,2725,1006,304,6,80,50,3,635
2019,경남,3362553,12674,84,23797,2983,412,3739,58,53,61,1596,9688,4036,1302,387,15,98,43,3,1066
2019,제주,670989,3236,6,4593,792,97,1301,21,21,29,509,2429,830,450,99,5,32,19,1,202
2020,서울,9668465,38414,67,66999,16726,1283,10514,168,143,218,8285,28699,4243,4040,1060,54,262,176,17,3432
2020,부산,3391946,14280,227,32872,4097,408,3757,60,39,86,1938,10288,3218,1461,409,11,101,67,4,1150
2020,대구,2418346,8700,22,17472,2575,190,2822,32,35,52,1099,6229,2142,980,223,3,59,35,3,772
2020,인천,2942828,8991,41,19807,4320,206,3383,36,46,65,1884,10756,1746,1359,473,13,124,58,6,841
2020,광주,1450062,5021,9,9771,1756,163,1467,15,34,16,790,4420,949,542,135,6,46,30,8,610
2020,대전,1463882,5317,5,10645,1399,120,1645,23,15,37,918,4791,978,729,178,7,38,21,-,483
2020,울산,1136017,2076,9,5245,458,94,736,8,9,21,319,1760,680,238,67,4,16,9,1,184
2020,세종,355831,876,1,1537,203,29,241,8,2,2,106,353,150,92,26,1,3,9,-,72
2020,경기,13427014,40851,93,86768,15911,1187,15669,173,161,277,7179,37789,6996,5958,1459,64,349,226,31,3437
2020,강원,1542840,4342,13,9063,1128,136,1813,37,21,37,769,3643,1554,674,140,3,34,36,1,415
2020,충북,1600837,5715,7,10005,1261,134,1915,19,28,40,811,3806,1279,672,238,9,57,22,14,476
